        time	        dist	           H	         Mg2	          Cl	      gammaH	    gammaMg2	     gammaCl	   potential	     current	
           0	  3.0500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.1500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.2500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.3500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.4500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.5500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.6500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.7500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.8500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.9500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.0500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.1500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.2500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.3500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.4500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.5500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.6500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.7500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.8500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.9500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.0500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.1500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.2500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.3500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.4500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.5500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.6500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.7500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.8500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.9500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  6.0500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.1500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.2500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.3500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.4500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.5500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.6500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.7500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.8500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.9500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.0500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.1500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.2500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.3500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.4500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.5500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.6500e-02	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
